pub_year,lexeme,target,n_docs,n_pos,prevalence,prev_lo95,prev_hi95,std_prev,std_lo95,std_hi95,L_star
2012,frontline,abstract,552351,366,0.0006626221370107052,0.0005981438606555259,0.0007340458905509057,0.000897906897744612,0.0008962655254331394,0.0008995512732703449,250
2013,frontline,abstract,616976,431,0.000698568501854205,0.0006356767019993478,0.0007676778334964172,0.000963161292077098,0.0009615383999144775,0.0009647869207248038,250
2014,frontline,abstract,668201,490,0.0007333122817834753,0.0006712140480210815,0.0008011510079889551,0.001033153073693714,0.0010315548252093148,0.0010347537958734063,250
2015,frontline,abstract,692692,585,0.0008445311913520006,0.0007788362548959366,0.0009157624254549927,0.0011082254324373886,0.0011066567727955454,0.0011097963131465392,250
2016,frontline,abstract,744227,617,0.0008290481264452916,0.0007661850295429088,0.0008970643144298719,0.0011887463085935893,0.0011872098769578755,0.0011902847262378973,250
2017,frontline,abstract,767947,660,0.0008594343099198252,0.0007963443955365871,0.0009275178458353841,0.001275110161112099,0.0012736046917435845,0.0012766174077518265,250
2018,frontline,abstract,826130,777,0.0009405299408083473,0.000876709288365456,0.0010089917695524648,0.0013677398596270418,0.0013662579582214762,0.0013692233661619982,250
2019,frontline,abstract,885697,801,0.0009043724885598574,0.0008438986787107694,0.0009691756502869809,0.0014670887085594018,0.0014656140498974328,0.0014685648487982664,250
2020,frontline,abstract,1023857,1714,0.0016740619051293297,0.001596723311411343,0.0017551398714123372,0.0015736426120818159,0.0015721470064387153,0.0015751396382710568,250
2021,frontline,abstract,1172890,2174,0.0018535412528029056,0.001777313144274955,0.0019330324172704661,0.0016879223892411791,0.0016863637497150914,0.0016894824669183674,250
2022,frontline,abstract,1221578,2143,0.0017542883057815382,0.001681629676178036,0.0018300805615066849,0.0018104862490696744,0.0018088087182157762,0.0018121653328798718,250
2023,frontline,abstract,1176462,1724,0.0014654106974980917,0.0013978968375546737,0.001536180240739756,0.0019419324360684085,0.0019400690365082563,0.0019437976219028473,250
2024,frontline,abstract,1227755,1501,0.0012225566175662083,0.0011622872765600792,0.001285947146455078,0.0020829020570176304,0.0020807785945426865,0.0020850276819867996,250
2025,frontline,abstract,1127750,1382,0.0012254489026823322,0.001162556792125046,0.001291738956706381,0.002234082100652053,0.002231620386787375,0.0022365465239610987,250
2010,guerrilla,any,387434,2,5.162169556621257e-06,1.4156542288420052e-06,1.882361509799675e-05,3.5215551884768393e-06,3.452305701084632e-06,3.5921937400750876e-06,250
2011,guerrilla,any,509457,1,1.9628741974298127e-06,3.4649557812706324e-07,1.1119466759561821e-05,3.539760267996555e-06,3.477444061024803e-06,3.6031931847099554e-06,250
2012,guerrilla,any,552351,2,3.620885994594017e-06,9.929781035180372e-07,1.3203437374590384e-05,3.558059460407704e-06,3.5022352090874225e-06,3.61477352511415e-06,250
2013,guerrilla,any,616976,2,3.2416171779777496e-06,8.889688026188529e-07,1.182045587186217e-05,3.5764532522323405e-06,3.5264471052167467e-06,3.627168499822692e-06,250
2014,guerrilla,any,668201,0,0.0,0.0,5.748923956174092e-06,3.5949421325076375e-06,3.5497514707978066e-06,3.64070809885147e-06,250
2015,guerrilla,any,692692,2,2.887286124280344e-06,7.917983542602716e-07,1.0528406490885007e-05,3.6135265927987852e-06,3.5717273461202972e-06,3.6558150063330273e-06,250
2016,guerrilla,any,744227,2,2.6873521116541054e-06,7.369691888107269e-07,9.799356886205883e-06,3.6322071272121532e-06,3.591938796087509e-06,3.6729268949084644e-06,250
2017,guerrilla,any,767947,1,1.30217319684822e-06,2.2986558100472696e-07,7.376687475955961e-06,3.650984232408381e-06,3.610106115740365e-06,3.69232522030477e-06,250
2018,guerrilla,any,826130,2,2.4209264885671745e-06,6.639056149232413e-07,8.827847932961152e-06,3.6698584076155505e-06,3.6262576787131902e-06,3.7139833729811887e-06,250
2019,guerrilla,any,885697,3,3.3871628785013386e-06,1.15194169916114e-06,9.959551437149365e-06,3.688830154642545e-06,3.6406990011515586e-06,3.737597614314585e-06,250
2020,guerrilla,any,1023857,3,2.930096683423564e-06,9.964977814517799e-07,8.615608104609636e-06,3.707899977892284e-06,3.6538390831667982e-06,3.762760735248549e-06,250
2021,guerrilla,any,1172890,6,5.115569234966621e-06,2.3445133070762358e-06,1.116178902032865e-05,3.7270683843752283e-06,3.6660470340875682e-06,3.7891054311466288e-06,250
2022,guerrilla,any,1221578,2,1.6372266036225275e-06,4.489867028691728e-07,5.970115607402405e-06,3.7463358837228205e-06,3.67760240210983e-06,3.8163539722477215e-06,250
2023,guerrilla,any,1176462,4,3.4000248201811874e-06,1.3222040224767764e-06,8.743076586104843e-06,3.765702988200988e-06,3.6887013807956996e-06,3.844311997273405e-06,250
2024,guerrilla,any,1227755,1,8.144947485451088e-07,1.4377833745288002e-07,4.614044309340944e-06,3.7851702127238576e-06,3.699478250929973e-06,3.8728470716786815e-06,250
